modell,lags,q_stat,p_verdi,avvist_H0
naive,10,63.363482101295794,8.324139725484467e-10,True
hw,10,67.99885995646727,1.0776384452567712e-10,True
sarima,10,53.61702653163912,5.717864273658442e-08,True
rf,10,13.543835018413347,0.1948335051653766,False
rf_uten_lag1,10,12.784443404678242,0.23597481088712927,False
gbm,10,30.034324241411074,0.0008456365391430498,True
hybrid_kamp,10,12.863758082064328,0.23138934791751772,False
hybrid_terskel,10,13.632553068507633,0.19042123782168305,False
