Scenario,Modell,Segment,MAE,MAPE,sMAPE,WAPE,Bias
Scenario 1,NAIVE,Alle testdager,227.11904761904762,1913.198912770418,122.17642211773668,129.35991320857065,-0.5952380952380952
Scenario 1,HW,Alle testdager,198.71277791590663,477.45485523211346,182.2308067929966,113.18058953713152,-198.56044416539675
Scenario 1,SARIMA,Alle testdager,174.02156816657416,674.8510522071936,133.34617325228805,99.11724793865086,-116.03569101718593
Scenario 1,RF,Alle testdager,183.48357142857145,1234.1438199103725,104.51588326091523,104.50650935720098,130.16357142857146
Scenario 1,RF_UTEN_LAG1,Alle testdager,178.9852380952381,1366.1055378679516,107.67264015057695,101.944399240575,46.69809523809523
Scenario 1,GBM,Alle testdager,268.2343863819595,1462.973907472245,105.22752776495179,152.77792552267832,225.20033918481226
Scenario 2,NAIVE,Alle testdager,227.11904761904762,1913.198912770418,122.17642211773668,129.35991320857065,-0.5952380952380952
Scenario 2,HW,Alle testdager,198.71277791590663,477.45485523211346,182.2308067929966,113.18058953713152,-198.56044416539675
Scenario 2,SARIMA,Alle testdager,173.30052300716378,368.9177452994695,163.76451537919496,98.70656314484512,-170.53461386719238
Scenario 2,RF,Alle testdager,192.08619047619044,1213.6782031735047,106.07330797720289,109.4062923786276,135.4842857142857
Scenario 2,RF_UTEN_LAG1,Alle testdager,169.1069047619048,1308.090650425176,107.58416849903195,96.31800922158938,38.866428571428564
Scenario 2,GBM,Alle testdager,294.2820323451943,1628.7302886829423,106.6011553734987,167.6138508068641,253.64241479985662
Scenario 2,HYBRID_KAMP,Alle testdager,177.65060169303436,370.5621637324849,159.3462354476204,101.1842320464801,-118.68135921972961
Scenario 2,HYBRID_TERSKEL,Alle testdager,175.94121663192632,1212.025269300541,144.84535949153494,100.21061972526317,6.6140844646935815
Scenario 1,NAIVE,Normale dager,172.1851851851852,2973.138835815752,117.25588918598537,1139.4607843137255,161.59259259259258
Scenario 1,HW,Normale dager,38.45288574273642,689.1930196617853,175.77882571525964,254.4676262386969,-38.21592213083219
Scenario 1,SARIMA,Normale dager,45.967445918833306,1020.6016898427798,134.84690907044694,304.1963332863969,44.01476560564145
Scenario 1,RF,Normale dager,64.68999999999998,1850.4472209375408,114.28318021760597,428.09558823529403,59.873703703703704
Scenario 1,RF_UTEN_LAG1,Normale dager,109.40888888888888,2117.461162387218,130.47489097419444,724.0294117647059,107.25111111111111
Scenario 1,GBM,Normale dager,69.57360341213182,2149.5174135854595,105.28913452273738,460.4135519920487,63.98024190845003
Scenario 2,NAIVE,Normale dager,172.1851851851852,2973.138835815752,117.25588918598537,1139.4607843137255,161.59259259259258
Scenario 2,HW,Normale dager,38.45288574273642,689.1930196617853,175.77882571525964,254.4676262386969,-38.21592213083219
Scenario 2,SARIMA,Normale dager,29.400980896453053,526.5734108524821,163.741268895301,194.5653147559393,-25.098455567608628
Scenario 2,RF,Normale dager,64.00592592592592,1807.3785167638366,115.82031653693204,423.5686274509804,59.11259259259259
Scenario 2,RF_UTEN_LAG1,Normale dager,101.82074074074073,2027.0113857921294,130.28916419050023,673.813725490196,99.5037037037037
Scenario 2,GBM,Normale dager,77.06470206436717,2408.8246746243763,105.29322801379264,509.986998955371,71.47134056068538
Scenario 2,HYBRID_KAMP,Normale dager,29.400980896453053,526.5734108524821,163.741268895301,194.5653147559393,-25.098455567608628
Scenario 2,HYBRID_TERSKEL,Normale dager,103.99025905900096,1868.8496227658359,174.33484557137987,688.1708320080945,57.79502412833372
Scenario 1,NAIVE,Toppdager,326.0,75.96971282517279,130.7053458661056,70.19810508182601,-292.53333333333336
Scenario 1,HW,Toppdager,487.18058382761313,110.44203688734918,193.84437273292312,104.90537980784089,-487.18058382761313
Scenario 1,SARIMA,Toppdager,404.5189882125077,75.54994697217771,130.64484877960209,87.10572528262439,-404.1265129382752
Scenario 1,RF,Toppdager,397.31200000000007,165.8845914632806,86.93474873887189,85.55383290267012,256.6853333333333
Scenario 1,RF_UTEN_LAG1,Toppdager,304.22266666666667,63.75578870122444,66.62858866806548,65.50875681883433,-62.29733333333333
Scenario 1,GBM,Toppdager,625.8237957276493,272.9651635426726,105.11663560093767,134.75964593618636,515.3965142822643
Scenario 2,NAIVE,Toppdager,326.0,75.96971282517279,130.7053458661056,70.19810508182601,-292.53333333333336
Scenario 2,HW,Toppdager,487.18058382761313,110.44203688734918,193.84437273292312,104.90537980784089,-487.18058382761313
Scenario 2,SARIMA,Toppdager,432.319698806443,95.64792500758085,163.80635905020415,93.09209707287748,-432.319698806443
Scenario 2,RF,Toppdager,422.6306666666666,184.59765961692923,88.5286925696904,91.0057421762848,272.95333333333326
Scenario 2,RF_UTEN_LAG1,Toppdager,290.222,61.96137578912487,66.715176254389,62.49397071490095,-70.28066666666668
Scenario 2,GBM,Toppdager,685.273226850683,276.5666863844576,108.95542462096957,147.56098769394555,581.5503484303649
Scenario 2,HYBRID_KAMP,Toppdager,444.4999191268807,100.14266872448967,151.43517524179524,95.71488353292004,-287.13058579354737
Scenario 2,HYBRID_TERSKEL,Toppdager,305.4529402631919,73.52972329402989,91.76428454781417,65.77367361395176,-85.51160692985867
